time,event,mid,state,action,kind,duration,h,dh,eta,slack_pressure,im_count,im_damage,p_fail,expected_fail_cost,downtime_cost,delta_t_since_last_maint,lambda_hat,ddt_hat,goal,rule,dispatched,op,job_due,overdue
321.46948794150717,maintenance,0,"[0.9495542645454407,-0.024177322164177895,26.866260528564453,0.0,33.50249099731445,4.0,0.019999999552965164,1.5996339321136475,0.0,0.0,0.24955423176288605,0.6495542526245117,0.0,0.0,0.0,0.0,321.469482421875]",0,DN,0.0,0.9495542364697753,-0.024177322911555277,26.866259711464092,0.0,0,0.0,0.0015078788037459494,0.012063030429967595,0.0,321.46948794150717,0.02,1.5996339248577869,,,,,,
321.46948794150717,scheduling,,"[5.0,3.0,3.0,4.0,0.019999999552965164,1.5996339321136475,33.50249099731445,32.56393051147461,0.0,0.375,0.0,0.0]",,,,,,,,,,,,,,0.02,1.5996339248577869,3,3,True,"{""mid"":2,""t0"":321.46948794150717,""t1"":351.31488792793573,""jid"":4,""oid"":1}",416.467307472221,False
328.39511371694033,maintenance,5,"[0.9416957497596741,-0.05548255145549774,11.565722465515137,0.0,26.57686424255371,4.0,0.019999999552965164,1.1810479164123535,0.0,0.0,0.24169576168060303,0.6416957378387451,0.0,0.0,0.0,0.0,328.3951110839844]",0,DN,0.0,0.9416957591457897,-0.055482550729437086,11.565722028084922,0.0,0,0.0,0.001630954459807209,0.013047635678457672,0.0,328.39511371694033,0.02,1.1810478690842625,,,,,,
328.39511371694033,scheduling,,"[5.0,3.0,3.0,4.0,0.019999999552965164,1.1810479164123535,26.57686424255371,25.638303756713867,0.0,0.375,0.0,0.0]",,,,,,,,,,,,,,0.02,1.1810478690842625,2,3,True,"{""mid"":5,""t0"":328.39511371694033,""t1"":358.1772775093856,""jid"":4,""oid"":1}",416.467307472221,False
338.77906785539744,maintenance,6,"[0.7860557436943054,-0.07970162481069565,6.098442077636719,0.0,31.56678009033203,4.0,0.019999999552965164,1.2695436477661133,0.0,0.0,0.08605574071407318,0.48605573177337646,0.0,0.0,0.0,0.0,338.779052734375]",0,DN,0.0,0.7860557408263169,-0.0797016228303572,6.098442209399848,0.0,0,0.0,0.00768662306135807,0.06149298449086456,0.0,338.77906785539744,0.02,1.2695437031137988,,,,,,
338.77906785539744,scheduling,,"[5.0,3.0,3.0,4.0,0.019999999552965164,1.2695436477661133,31.56678009033203,15.281386375427246,0.0,0.375,0.0,0.0]",,,,,,,,,,,,,,0.02,1.2695437031137988,3,2,True,"{""mid"":6,""t0"":338.77906785539744,""t1"":384.5384644867504,""jid"":3,""oid"":1}",501.8183262031507,False
343.74783933600656,maintenance,4,"[0.90511554479599,-0.03307873755693436,18.293188095092773,0.0,35.499942779541016,4.0,0.019999999552965164,1.4181801080703735,0.0,0.0,0.20511557161808014,0.6051155924797058,0.0,0.0,0.0,0.0,343.7478332519531]",0,DN,0.0,0.9051155685484206,-0.03307873892259017,18.29318735410359,0.0,0,0.0,0.002349604988098831,0.018796839904790648,0.0,343.74783933600656,0.02,1.4181800708638574,,,,,,
343.74783933600656,scheduling,,"[5.0,3.0,3.0,4.0,0.019999999552965164,1.4181801080703735,35.499942779541016,15.653775215148926,0.0,0.375,0.0,0.0]",,,,,,,,,,,,,,0.02,1.4181800708638574,3,2,True,"{""mid"":4,""t0"":343.74783933600656,""t1"":349.92029193993386,""jid"":4,""oid"":1}",416.467307472221,False
349.92029193993386,maintenance,4,"[0.8855262994766235,-0.019589243456721306,29.89019775390625,0.0,38.77994918823242,4.0,0.019999999552965164,1.629266619682312,0.0,0.0,0.18552632629871368,0.5855263471603394,0.0,0.0,0.0,0.0,349.9202880859375]",0,DN,0.0,0.8855263257231621,-0.019589242825258424,29.8901969282949,0.0,0,0.0,0.0028565977993974933,0.022852782395179946,0.0,349.92029193993386,0.02,1.62926661173772,,,,,,
349.92029193993386,scheduling,,"[5.0,3.0,3.0,4.0,0.019999999552965164,1.629266619682312,38.77994918823242,32.16722106933594,0.0,0.375,0.0,0.0]",,,,,,,,,,,,,,0.02,1.62926661173772,3,2,True,"{""mid"":0,""t0"":349.92029193993386,""t1"":384.37973977875487,""jid"":4,""oid"":2}",416.467307472221,False
351.31488792793573,maintenance,2,"[0.8850352764129639,-0.05891267955303192,9.930548667907715,0.0,40.73154067993164,4.0,0.019999999552965164,1.675802230834961,0.0,0.0,0.18503525853157043,0.5850352644920349,0.0,0.0,0.0,0.0,351.31488037109375]",0,DN,0.0,0.8850352657910712,-0.05891268056227561,9.93054908056068,0.0,0,0.0,0.0028706195380815615,0.022964956304652492,0.0,351.31488792793573,0.02,1.6758022069015452,,,,,,
351.31488792793573,scheduling,,"[5.0,2.0,2.0,4.0,0.019999999552965164,1.675802230834961,40.73154067993164,33.019290924072266,0.0,0.375,0.0,0.0]",,,,,,,,,,,,,,0.02,1.6758022069015452,3,2,True,"{""mid"":1,""t0"":351.31488792793573,""t1"":392.64191392432105,""jid"":5,""oid"":1}",476.487317621014,False
358.1772775093856,maintenance,5,"[0.9260298013687134,-0.015665950253605843,39.96117401123047,0.0,33.8691520690918,4.0,0.019999999552965164,1.29664146900177,0.0,0.0,0.22602981328964233,0.6260297894477844,0.0,0.0,0.0,0.0,358.1772766113281]",0,DN,0.0,0.9260298084446444,-0.015665950701145293,39.96117569799816,0.0,0,0.0,0.0019070324474395077,0.015256259579516061,0.0,358.1772775093856,0.02,1.2966414463098013,,,,,,
358.1772775093856,scheduling,,"[5.0,2.0,2.0,4.0,0.019999999552965164,1.29664146900177,33.8691520690918,26.156902313232422,0.0,0.375,0.0,0.0]",,,,,,,,,,,,,,0.02,1.2966414463098013,3,3,True,"{""mid"":5,""t0"":358.1772775093856,""t1"":370.5333973496357,""jid"":5,""oid"":1}",476.487317621014,False
370.5333973496357,maintenance,5,"[0.8943606615066528,-0.031669169664382935,18.767799377441406,0.0,37.92049789428711,4.0,0.019999999552965164,1.5130757093429565,0.0,0.0,0.1943606436252594,0.5943606495857239,0.0,0.0,0.0,0.0,370.53338623046875]",0,DN,0.0,0.8943606382866068,-0.03166917015803761,18.767799576704686,0.0,0,0.0,0.0026156948372729216,0.020925558698183373,0.0,370.5333973496357,0.02,1.5130757199554288,,,,,,
370.5333973496357,scheduling,,"[5.0,2.0,2.0,4.0,0.019999999552965164,1.5130757093429565,37.92049789428711,32.50677490234375,0.0,0.375,0.0,0.0]",,,,,,,,,,,,,,0.02,1.5130757199554288,3,3,True,"{""mid"":3,""t0"":370.5333973496357,""t1"":379.1164411845856,""jid"":5,""oid"":2}",476.487317621014,False
379.1164411845856,maintenance,3,"[0.9622030854225159,-0.018966544419527054,34.91427230834961,0.0,42.636940002441406,4.0,0.019999999552965164,1.7851072549819946,0.0,0.0,0.2622030973434448,0.6622030735015869,0.0,0.0,0.0,0.0,379.116455078125]",0,DN,0.0,0.9622030861940166,-0.018966543653315182,34.914273169548714,0.0,0,0.0,0.0013289572019215543,0.010631657615372435,0.0,379.1164411845856,0.02,1.7851072671059554,,,,,,
379.1164411845856,scheduling,,"[5.0,2.0,2.0,4.0,0.019999999552965164,1.7851072549819946,42.636940002441406,26.583627700805664,0.0,0.375,0.0,0.0]",,,,,,,,,,,,,,0.02,1.7851072671059554,1,5,True,"{""mid"":2,""t0"":379.1164411845856,""t1"":420.1141185337287,""jid"":5,""oid"":3}",476.487317621014,False
384.37973977875487,maintenance,0,"[0.9088150262832642,-0.040739238262176514,14.944191932678223,0.0,37.37364196777344,4.0,0.019999999552965164,1.5198850631713867,0.0,0.0,0.20881499350070953,0.6088150143623352,0.0,0.0,0.0,0.0,384.3797302246094]",0,DN,0.0,0.9088149969427077,-0.040739239527067594,14.94419149719779,0.0,0,0.0,0.002264464432528864,0.018115715460230913,0.0,384.37973977875487,0.02,1.5198850466898957,,,,,,
384.37973977875487,scheduling,,"[5.0,2.0,2.0,4.0,0.019999999552965164,1.5198850631713867,37.37364196777344,21.320329666137695,0.0,0.375,0.0,0.0]",,,,,,,,,,,,,,0.02,1.5198850466898957,3,2,True,"{""mid"":3,""t0"":384.37973977875487,""t1"":407.5032938271063,""jid"":5,""oid"":3}",476.487317621014,False
384.5384644867504,maintenance,6,"[0.6976504325866699,-0.0884053185582161,4.498037338256836,0.0,60.0946159362793,4.0,0.019999999552965164,2.3191018104553223,0.0,0.0,-0.00234957761131227,0.39765042066574097,0.0,0.0,0.0,0.0,384.5384521484375]",0,DN,0.0,0.6976504224987073,-0.08840531832760956,4.498037335549286,0.0,0,0.0,0.01840594322393722,0.14724754579149776,0.0,384.5384644867504,0.02,2.3191018815984092,,,,,,
384.5384644867504,scheduling,,"[5.0,2.0,2.0,4.0,0.019999999552965164,2.3191018104553223,60.0946159362793,57.84416961669922,0.0,0.375,0.0,0.0]",,,,,,,,,,,,,,0.02,2.3191018815984092,2,1,True,"{""mid"":5,""t0"":384.5384644867504,""t1"":424.41911913346075,""jid"":5,""oid"":3}",476.487317621014,False
392.64191392432105,maintenance,1,"[0.9216881394386292,-0.02675970084965229,23.23225212097168,0.0,54.80422592163086,4.0,0.019999999552965164,2.0434393882751465,0.0,0.0,0.22168812155723572,0.6216881275177002,0.0,0.0,0.0,0.0,392.64190673828125]",0,DN,0.0,0.921688115746235,-0.02675970112737225,23.23225183970071,0.0,0,0.0,0.0019914851178135596,0.015931880942508476,0.0,392.64191392432105,0.02,2.0434394882722517,,,,,,
392.64191392432105,scheduling,,"[5.0,1.0,1.0,4.0,0.019999999552965164,2.0434393882751465,54.80422592163086,54.80422592163086,0.0,0.375,0.0,0.0]",,,,,,,,,,,,,,0.02,2.0434394882722517,3,1,True,"{""mid"":6,""t0"":392.64191392432105,""t1"":397.6718161976439,""jid"":3,""oid"":2}",501.8183262031507,False
397.6718161976439,maintenance,6,"[0.671003520488739,-0.02664690837264061,13.922947883605957,0.0,66.97579956054688,4.0,0.019999999552965164,2.61531662940979,0.0,0.0,-0.028996486216783524,0.37100350856781006,13.13335132598877,0.0,0.0,0.0,397.67181396484375]",0,DN,0.0,0.671003514213673,-0.026646908285034354,13.92294784239712,0.0,0,0.0,0.023891869845398747,0.19113495876318998,0.0,397.6718161976439,0.02,2.6153166479462273,,,,,,
397.6718161976439,scheduling,,"[5.0,1.0,1.0,4.0,0.019999999552965164,2.61531662940979,66.97579956054688,66.97579956054688,0.0,0.375,0.0,0.0]",,,,,,,,,,,,,,0.02,2.6153166479462273,3,1,True,"{""mid"":1,""t0"":397.6718161976439,""t1"":434.8425287394849,""jid"":3,""oid"":3}",501.8183262031507,False
401.6836564630373,scheduling,,"[4.0,2.0,2.0,5.0,0.02500000037252903,3.0266077518463135,74.25123596191406,65.2214126586914,0.0,0.5,0.0,0.0]",,,,,,,,,,,,,,0.025,3.0266078687560216,2,1,True,"{""mid"":7,""t0"":401.6836564630373,""t1"":437.7178372579028,""jid"":6,""oid"":0}",658.299181260534,False
407.5032938271063,maintenance,3,"[0.9353839755058289,-0.026819122955203056,23.691452026367188,0.0,68.43159484863281,5.0,0.02500000037252903,2.7983198165893555,0.0,0.0,0.23538395762443542,0.6353839635848999,0.0,0.0,0.0,0.0,407.5032958984375]",0,DN,0.0,0.9353839636767937,-0.02681912251722296,23.691452368315062,0.0,0,0.0,0.0017370305957397486,0.013896244765917989,0.0,407.5032938271063,0.025,2.798319848350295,,,,,,
420.1141185337287,maintenance,2,"[0.8255965709686279,-0.05943872407078743,8.84266185760498,0.0,55.820770263671875,5.0,0.02500000037252903,2.2041573524475098,0.0,0.0,0.1255965381860733,0.525596559047699,0.0,0.0,0.0,0.0,420.1141052246094]",0,DN,0.0,0.8255965427365871,-0.059438723054484055,8.842662085031725,0.0,0,0.0,0.0051892392243475735,0.04151391379478059,0.0,420.1141185337287,0.025,2.2041572514829997,,,,,,
