time,event,mid,state,action,kind,duration,h,dh,eta,slack_pressure,im_count,im_damage,risk_h,risk_trend,im_longterm_penalty,opportunity_cost,p_fail,expected_fail_cost,downtime_cost,delta_t_since_last_maint,lambda_hat,ddt_hat,goal,rule,dispatched,op,job_due,overdue
2477.8938675247064,maintenance,4,"[0.8339936137199402,-0.07401043176651001,7.215113162994385,0.841437816619873,-73.66433715820312,7.0,0.03500000014901161,-3.5737292766571045,1.0,0.0,0.8339936137199402,0.009999999776482582,0.13399361073970795,0.5339936017990112,0.0,3.0,0.0,0.0,297.143310546875]",0,DN,0.0,0.8339936055729391,-0.07401042868514351,7.215112992314424,0.84143782226142,0,0.0,0.001261377596448372,0.05401042868514351,0.0,0.0,0.0047732838723781226,0.03818627097902498,0.0,297.14332531813034,0.035,-3.573729266506518,,,,,,
2477.8938675247064,scheduling,,"[4.0,4.0,4.0,7.0,0.03500000014901161,-3.5737292766571045,-73.66433715820312,-102.20366668701172,0.841437816619873,0.5,1.0,1.0]",,,,,,,,,,,,,,,,,,0.035,-3.573729266506518,0,2,True,"{""mid"":5,""t0"":2477.8938675247064,""t1"":2500.716711676146,""jid"":68,""oid"":1}",2534.015922465839,False
2479.236451973152,maintenance,1,"[0.7989650368690491,-0.06335727125406265,7.875418663024902,0.8693608641624451,-81.41265106201172,7.0,0.03500000014901161,-3.795118808746338,1.0,0.10000000149011612,0.7989650368690491,0.009999999776482582,0.09896503388881683,0.4989650249481201,0.0,2.0,1.0,1.0,225.66001892089844]",0,DN,0.0,0.7989650354300988,-0.06335727072416064,7.875418712438691,0.8693608351441411,1,0.1,0.0019536810998106637,0.04335727072416064,0.0,0.0,0.008452510531836337,0.0676200842546907,0.0,225.66001412120386,0.035,-3.7951188056184635,,,,,,
2479.236451973152,scheduling,,"[4.0,3.0,3.0,7.0,0.03500000014901161,-3.795118808746338,-81.41265106201172,-104.20521545410156,0.8693608641624451,0.5,1.0,1.0]",,,,,,,,,,,,,,,,,,0.035,-3.7951188056184635,0,2,True,"{""mid"":7,""t0"":2479.236451973152,""t1"":2524.506985912024,""jid"":68,""oid"":1}",2534.015922465839,False
2482.1068826586875,maintenance,0,"[0.5176575183868408,-0.06491474062204361,3.352975368499756,0.8205998539924622,-68.72545623779297,8.0,0.03999999910593033,-3.1173698902130127,1.0,0.0,0.5176575183868408,0.009999999776482582,-0.18234245479106903,0.21765753626823425,62.7081298828125,4.0,0.0,0.0,434.64404296875]",0,DN,0.0,0.5176575414873442,-0.06491474372035289,3.352975441526722,0.8205998287048775,0,0.0,0.06375138938738736,0.04491474372035288,0.0,0.0,0.10187383529214727,0.8149906823371782,0.0,434.6440563841272,0.04,-3.1173699608322085,,,,,,
2482.1068826586875,scheduling,,"[4.0,4.0,4.0,8.0,0.03999999910593033,-3.1173698902130127,-68.72545623779297,-106.41667938232422,0.8205998539924622,0.5,1.0,1.0]",,,,,,,,,,,,,,,,,,0.04,-3.1173699608322085,0,2,True,"{""mid"":0,""t0"":2482.1068826586875,""t1"":2508.362870842465,""jid"":67,""oid"":1}",2475.144834353179,True
2492.7598975065594,scheduling,,"[3.0,5.0,5.0,9.0,0.04500000178813934,-3.129154920578003,-68.98526763916016,-116.41073608398438,0.8217613101005554,0.625,1.0,1.0]",,,,,,,,,,,,,,,,,,0.045,-3.129154934672235,0,2,True,"{""mid"":6,""t0"":2492.7598975065594,""t1"":2521.866938230339,""jid"":70,""oid"":0}",2520.1723491906973,True
2493.066326507391,maintenance,2,"[0.5709583759307861,-0.07371987402439117,3.6755127906799316,0.8231215476989746,-69.29169464111328,9.0,0.04500000178813934,-3.1422295570373535,1.0,0.10000000149011612,0.5709583759307861,0.009999999776482582,-0.1290416568517685,0.2709583640098572,78.09392547607422,4.0,1.0,1.0,247.70361328125]",0,DN,0.0,0.5709583500256775,-0.07371987476071196,3.675512891268248,0.8231215278111055,1,0.1,0.033251637555094964,0.05371987476071195,0.0,0.0,0.07801277312166763,0.624102184973341,0.0,247.70361461645325,0.045,-3.14222965531609,,,,,,
2493.066326507391,scheduling,,"[3.0,5.0,5.0,9.0,0.04500000178813934,-3.1422295570373535,-69.29169464111328,-116.7171630859375,0.8231215476989746,0.625,1.0,1.0]",,,,,,,,,,,,,,,,,,0.045,-3.14222965531609,0,2,True,"{""mid"":2,""t0"":2493.066326507391,""t1"":2542.2561566347867,""jid"":68,""oid"":1}",2534.015922465839,True
2500.716711676146,maintenance,5,"[0.5016087889671326,-0.039402417838573456,5.116660118103027,0.8223748803138733,-69.12319946289062,9.0,0.04500000178813934,-3.1218504905700684,1.0,0.10000000149011612,0.5016087889671326,0.009999999776482582,-0.19839122891426086,0.2016087770462036,118.49329376220703,2.0,1.0,1.0,373.9996643066406]",0,DN,0.0,0.5016087748907211,-0.03940241702977043,5.116660095709253,0.8223748761927054,1,0.1,0.07737834472908658,0.01940241702977043,0.0,0.0,0.14690516542309012,1.175241323384721,0.0,373.99967869314014,0.045,-3.1218505499236024,,,,,,
