time,event,mid,state,action,kind,duration,h,dh,eta,slack_pressure,goal,rule,dispatched,op,job_due,overdue
1457.9117188118842,maintenance,6,"[0.6331658363342285,-0.04522613063454628,7.366666793823242,0.0,-0.06683417409658432,0.33316582441329956,54.80282211303711,0.0,0.0,1457.9117431640625]",1,IM,12.0,0.6331658291457286,-0.045226130653266416,7.366666666666652,0.0,,,,,,
1458.2015262529735,maintenance,2,"[0.852090060710907,-0.019029511138796806,29.01230812072754,0.0,0.15209002792835236,0.552090048789978,0.0,0.0,2.0,49.91731643676758]",0,DN,0.0,0.8520900321543409,-0.019029510502700853,29.012308649556854,0.0,,,,,,
1458.2015262529735,scheduling,,"[1.0,4.0,4.0,10.0,25.079635620117188,-18.228744506835938,0.25,0.75]",,,,,,,,0,2,True,"{""mid"":2,""t0"":1458.2015262529735,""t1"":1463.7812224150678,""jid"":32,""oid"":1}",1516.9832084366674,False
1458.6941643753717,maintenance,5,"[0.8024553656578064,-0.01116071455180645,45.02000045776367,0.0,0.10245535522699356,0.5024553537368774,0.0,0.0,1.0,249.4258270263672]",0,DN,0.0,0.8024553571428571,-0.011160714285714302,45.01999999999994,0.0,,,,,,
1458.6941643753717,scheduling,,"[1.0,4.0,4.0,9.0,30.642080307006836,-18.72138214111328,0.25,0.75]",,,,,,,,1,1,True,"{""mid"":5,""t0"":1458.6941643753717,""t1"":1487.2899203859668,""jid"":35,""oid"":0}",1647.9193483570389,False
1463.7812224150678,maintenance,2,"[0.8504823446273804,-0.001607717014849186,342.3999938964844,0.0,0.15048231184482574,0.5504823327064514,0.0,0.0,2.0,55.497013092041016]",0,DN,0.0,0.8504823151125402,-0.001607717041800627,342.40000000000344,0.0,,,,,,
1463.7812224150678,scheduling,,"[1.0,4.0,4.0,8.0,26.949947357177734,-18.228744506835938,0.25,0.75]",,,,,,,,1,1,True,"{""mid"":2,""t0"":1463.7812224150678,""t1"":1486.287044614804,""jid"":32,""oid"":2}",1516.9832084366674,False
1468.62731001876,maintenance,4,"[0.8353293538093567,-0.005988024175167084,89.4000015258789,0.0,0.13532933592796326,0.5353293418884277,0.0,0.0,1.0,57.82733154296875]",0,DN,0.0,0.8353293413173652,-0.005988023952095856,89.39999999999928,0.0,,,,,,
1468.62731001876,scheduling,,"[1.0,4.0,4.0,8.0,30.207109451293945,-23.074831008911133,0.25,0.75]",,,,,,,,1,1,True,"{""mid"":4,""t0"":1468.62731001876,""t1"":1475.311638144585,""jid"":35,""oid"":0}",1647.9193483570389,False
1471.8573946038073,maintenance,1,"[0.8170663714408875,-0.0078081428073346615,66.22142791748047,0.0,0.11706636846065521,0.5170663595199585,0.0,0.0,0.0,1471.857421875]",0,DN,0.0,0.8170663692136084,-0.007808142777467997,66.22142857142799,0.0,,,,,,
1471.8573946038073,scheduling,,"[2.0,3.0,3.0,7.0,11.853108406066895,-26.304916381835938,0.3333333432674408,0.75]",,,,,,,,1,1,True,"{""mid"":1,""t0"":1471.8573946038073,""t1"":1516.048858325357,""jid"":35,""oid"":0}",1647.9193483570389,False
1475.311638144585,maintenance,4,"[0.832335352897644,-0.002994012087583542,177.8000030517578,0.0,0.1323353350162506,0.5323353409767151,0.0,0.0,1.0,64.51165771484375]",0,DN,0.0,0.8323353293413174,-0.0029940119760478723,177.8000000000019,0.0,,,,,,
1475.311638144585,scheduling,,"[2.0,3.0,3.0,7.0,17.629596710205078,-29.759159088134766,0.3333333432674408,0.75]",,,,,,,,2,2,True,"{""mid"":6,""t0"":1475.311638144585,""t1"":1501.4398225491586,""jid"":35,""oid"":1}",1647.9193483570389,False
1485.6280310304146,maintenance,7,"[0.7752808928489685,-0.04494382068514824,10.574999809265137,0.0,0.07528089731931686,0.47528091073036194,0.0,0.0,2.0,135.84152221679688]",0,DN,0.0,0.7752808988764045,-0.0449438202247191,10.575000000000001,0.0,,,,,,
1485.6280310304146,scheduling,,"[2.0,4.0,4.0,8.0,15.924551963806152,-40.07555389404297,0.25,0.75]",,,,,,,,2,2,True,"{""mid"":7,""t0"":1485.6280310304146,""t1"":1496.8732747499412,""jid"":37,""oid"":0}",1556.213313922618,False
1486.1549476973626,scheduling,,"[1.0,5.0,5.0,9.0,28.253267288208008,-40.60247039794922,0.20000000298023224,0.875]",,,,,,,,1,1,True,"{""mid"":4,""t0"":1486.1549476973626,""t1"":1526.5438139166379,""jid"":38,""oid"":0}",1725.1823307808172,False
1486.287044614804,maintenance,2,"[0.8392282724380493,-0.011254019103944302,47.91428756713867,0.0,0.13922829926013947,0.5392283201217651,0.0,0.0,2.0,78.00283813476562]",0,DN,0.0,0.8392282958199357,-0.0112540192926045,47.91428571428572,0.0,,,,,,
1486.287044614804,scheduling,,"[1.0,5.0,5.0,9.0,34.835060119628906,-7.165114402770996,0.20000000298023224,0.875]",,,,,,,,1,0,True,"{""mid"":2,""t0"":1486.287044614804,""t1"":1493.251585050245,""jid"":37,""oid"":0}",1556.213313922618,False
1487.2899203859668,maintenance,5,"[0.78125,-0.02120535634458065,22.69473648071289,0.0,0.08124999701976776,0.48124998807907104,0.0,0.0,1.0,278.0215759277344]",0,DN,0.0,0.78125,-0.021205357142857095,22.694736842105314,0.0,,,,,,
1487.2899203859668,scheduling,,"[1.0,5.0,5.0,9.0,42.088016510009766,-8.167990684509277,0.20000000298023224,0.875]",,,,,,,,1,2,True,"{""mid"":5,""t0"":1487.2899203859668,""t1"":1513.0682669908801,""jid"":32,""oid"":3}",1516.9832084366674,False
1493.251585050245,maintenance,2,"[0.8327974081039429,-0.006430868059396744,82.8499984741211,0.0,0.13279743492603302,0.5327974557876587,0.0,0.0,2.0,84.96737670898438]",0,DN,0.0,0.8327974276527331,-0.006430868167202619,82.84999999999941,0.0,,,,,,
1494.8599203218148,maintenance,3,"[0.817365288734436,-0.01646706648170948,31.418182373046875,0.0,0.1173652708530426,0.5173652768135071,0.0,0.0,1.0,107.70918273925781]",0,DN,0.0,0.8173652694610778,-0.01646706586826352,31.418181818181722,0.0,,,,,,
1494.8599203218148,scheduling,,"[2.0,5.0,5.0,9.0,38.34308624267578,-15.737990379333496,0.20000000298023224,0.75]",,,,,,,,1,2,True,"{""mid"":3,""t0"":1494.8599203218148,""t1"":1518.3459886597657,""jid"":37,""oid"":1}",1556.213313922618,False
1496.8732747499412,maintenance,7,"[0.7595505714416504,-0.01573033630847931,29.214284896850586,0.0,0.059550561010837555,0.45955055952072144,0.0,0.0,2.0,147.08677673339844]",0,DN,0.0,0.7595505617977528,-0.01573033707865168,29.214285714285726,0.0,,,,,,
1497.6207199202934,maintenance,0,"[0.6941964030265808,-0.02678571455180645,14.716666221618652,0.0,-0.0058035715483129025,0.39419642090797424,0.0,0.0,1.0,359.51171875]",0,DN,0.0,0.6941964285714286,-0.0267857142857143,14.71666666666666,0.0,,,,,,
1497.6207199202934,scheduling,,"[3.0,5.0,5.0,9.0,46.418766021728516,-18.498790740966797,0.20000000298023224,0.625]",,,,,,,,1,2,True,"{""mid"":0,""t0"":1497.6207199202934,""t1"":1544.5970358840937,""jid"":35,""oid"":3}",1647.9193483570389,False
1501.4398225491586,maintenance,6,"[0.909547746181488,-0.009129548445343971,66.76647186279297,0.0,0.2095477432012558,0.6095477342605591,0.0,0.0,1.0,31.52810287475586]",0,DN,0.0,0.9095477386934674,-0.009129548236022744,66.76647331664843,0.0,,,,,,
1501.4398225491586,scheduling,,"[3.0,5.0,5.0,9.0,47.610294342041016,-22.31789207458496,0.20000000298023224,0.625]",,,,,,,,1,2,True,"{""mid"":7,""t0"":1501.4398225491586,""t1"":1532.1025909306672,""jid"":35,""oid"":4}",1647.9193483570389,False
