time,event,maint_mode,maint_seq_global,maint_seq_machine,mid,state,action,kind,duration,h,dh,eta,slack_pressure,im_count,im_damage,risk_h,risk_trend,im_longterm_penalty,opportunity_cost,p_fail,expected_fail_cost,downtime_cost,delta_t_since_last_maint,lambda_hat,ddt_hat,goal,rule,dispatched,op,job_due,overdue,local_urgency,breakdown_flag,breakdown_kind,breakdown_cost,breakdown_count,hard_breakdown_count,stochastic_breakdown_count,requeued_op_count,interrupted_proc_time,t_e,t_l,window_violation,risk_t,mat_cost,scrap_part_cost
697.1755079135231,maintenance,POMCP,50,8,1,"[0.7354471683502197,-0.05754322558641434,11.042954444885254,0.0,0.0,50.355262756347656,20.174278259277344,2.0,0.0017359344055876136,0.0,119.16963958740234,0.7354471683502197,0.009999999776482582,697.175537109375,0.006800611969083548,0.006800611969083548,0.006800611969083548]",0,DN,0.0,0.7354471974708563,-0.05754322495193476,11.042954196634593,0.0,0,0.0,0.001735934458724727,0.0,0.0,0.0,0.0005433089897875336,0.7019552148054934,0.0,697.1755079135231,20.174278954298227,2.0,,,,,,,0.0,False,,0.0,0,0,0,0,0.0,697.1755079135231,816.3451456187348,False,0.001735934458724727,0.0,0.0
702.988805031347,maintenance,POMCP,51,9,5,"[0.6107609868049622,-0.07147534191608429,7.145974636077881,0.0,0.0,48.93816375732422,21.20348358154297,2.0,0.006014138460159302,0.0,117.14765930175781,0.6107609868049622,0.009999999776482582,702.9888305664062,0.0065778582356870174,0.0065778582356870174,0.0065778582356870174]",0,DN,0.0,0.6107609890662291,-0.07147534144938217,7.145974803463414,0.0,0,0.0,0.00601413836938915,0.0,0.0,0.0,0.002081322265426238,2.6890683669306994,0.0,702.988805031347,21.20348411923416,2.0,,,,,,,0.0,False,,0.0,0,0,0,0,0.0,702.988805031347,820.1364649074026,False,0.00601413836938915,0.0,0.0
702.988805031347,scheduling,POMCP,,,,"[4.0,4.0,2.0,9.0,21.20348358154297,2.0,48.93816375732422,40.50674819946289,0.0,0.3333333432674408,0.0,1.0,0.0029483705293387175,0.006201140582561493]",,,,,,,,,,,,,,,,,,21.20348411923416,2.0,0,3,True,"{""mid"":5,""t0"":702.988805031347,""t1"":728.8349447447799,""jid"":14,""oid"":2,""status"":""DONE""}",770.7485481342092,False,,False,,0.0,0,0,0,0,0.0,,,,,,0.0
702.988805031347,scheduling,POMCP,,,,"[3.0,4.0,1.0,9.0,21.20348358154297,2.0,48.93816375732422,40.50674819946289,0.0,0.5,0.0,1.0,0.0017560849664732814,0.002765379613265395]",,,,,,,,,,,,,,,,,,21.20348411923416,2.0,0,3,True,"{""mid"":1,""t0"":702.988805031347,""t1"":713.4490907395093,""jid"":12,""oid"":3,""status"":""DONE""}",812.2375534546304,False,,False,,0.0,0,0,0,0,0.0,,,,,,0.0
704.4530654331445,maintenance,POMCP,52,6,3,"[0.8960479497909546,0.028445253148674965,100.0,0.0,0.0,51.35269546508789,21.20348358154297,2.0,0.00034886400680989027,0.0,119.8326644897461,0.8960479497909546,0.009999999776482582,704.4530639648438,0.002599070081487298,0.002600850770249963,0.002599070081487298]",0,DN,0.0,0.8960479425921288,0.02844525374715612,100.0,0.0,0,0.0,0.00034886401594936916,0.0,0.0,0.0,0.000182227907095896,0.23543845596789764,0.0,704.4530654331445,21.20348411923416,2.0,,,,,,,0.0,False,,0.0,0,0,0,0,0.0,704.4530654331445,824.285727489018,False,0.00034886401594936916,0.0,0.0
704.4530654331445,scheduling,POMCP,,,,"[3.0,4.0,1.0,9.0,21.20348358154297,2.0,51.35269546508789,40.9254035949707,0.0,0.5,0.0,1.0,0.0013808170333504677,0.003153804922476411]",,,,,,,,,,,,,,,,,,21.20348411923416,2.0,0,3,True,"{""mid"":3,""t0"":704.4530654331445,""t1"":716.8642373386909,""jid"":15,""oid"":2,""status"":""DONE""}",785.0786858371079,False,,False,,0.0,0,0,0,0,0.0,,,,,,0.0
713.4490907395093,maintenance,POMCP,53,9,1,"[0.7124852538108826,-0.022961925715208054,26.6739501953125,0.0,0.0,49.544010162353516,21.20348358154297,2.0,0.002183037344366312,0.0,118.95670318603516,0.7124852538108826,0.009999999776482582,713.4490966796875,0.006241147872060537,0.006241147872060537,0.006241147872060537]",0,DN,0.0,0.7124852714982759,-0.0229619259725804,26.67395027009777,0.0,0,0.0,0.002183037248592707,0.0,0.0,0.0,0.0006861366871331099,0.886488599775978,0.0,713.4490907395093,21.20348411923416,2.0,,,,,,,0.0,False,,0.0,0,0,0,0,0.0,713.4490907395093,832.4057945981667,False,0.002183037248592707,0.0,0.0
713.4490907395093,scheduling,POMCP,,,,"[3.0,4.0,1.0,9.0,21.20348358154297,2.0,49.544010162353516,31.92937660217285,0.0,0.5,0.0,1.0,0.0021627554669976234,0.0035682765301316977]",,,,,,,,,,,,,,,,,,21.20348411923416,2.0,0,3,True,"{""mid"":1,""t0"":713.4490907395093,""t1"":721.6288004620021,""jid"":12,""oid"":4,""status"":""DONE""}",812.2375534546304,False,,False,,0.0,0,0,0,0,0.0,,,,,,0.0
715.3823471179014,scheduling,POMCP,,,,"[2.0,5.0,1.0,9.0,19.191429138183594,2.0,49.449642181396484,31.073408126831055,0.0,0.6666666865348816,0.0,1.0,0.001886773738078773,0.0029647154733538628]",,,,,,,,,,,,,,,,,,19.19142937440141,2.0,0,3,True,"{""mid"":0,""t0"":715.3823471179014,""t1"":734.4293807704917,""jid"":16,""oid"":0,""status"":""DONE""}",885.7978896589702,False,,False,,0.0,0,0,0,0,0.0,,,,,,0.0
716.8642373386909,maintenance,POMCP,54,7,3,"[0.8632810711860657,-0.03276687487959862,23.29429054260254,0.0,0.0,48.63618087768555,19.191429138183594,2.0,0.0004840632900595665,0.0,119.76787567138672,0.8632810711860657,0.009999999776482582,716.8642578125,0.018040698021650314,0.0024540426675230265,0.0024540426675230265]",0,DN,0.0,0.8632810685975635,-0.03276687399456535,23.294290102991205,0.0,0,0.0,0.00048406330396895,0.0,0.0,0.0,0.0001888106870526239,0.24394340767199008,0.0,716.8642373386909,19.19142937440141,2.0,,,,,,,0.0,False,,0.0,0,0,0,0,0.0,716.8642373386909,836.6321117522639,False,0.00048406330396895,0.0,0.0
719.7486626589894,maintenance,POMCP,55,10,4,"[0.5561428070068359,-0.0543413944542408,8.394021034240723,0.0,0.0,53.53636169433594,19.191429138183594,2.0,0.010339116677641869,0.0,115.13844299316406,0.5561428070068359,0.009999999776482582,719.7486572265625,0.007798466831445694,0.007798466831445694,0.007798466831445694]",0,DN,0.0,0.5561427948255936,-0.05434139291844431,8.394021027583408,0.0,0,0.0,0.010339116231069005,0.0,0.0,0.0,0.004900278254979879,6.331159505434004,0.0,719.7486626589894,19.19142937440141,2.0,,,,,,,0.0,False,,0.0,0,0,0,0,0.0,719.7486626589894,834.8871081194512,False,0.010339116231069005,0.0,0.0
721.6288004620021,maintenance,POMCP,56,10,1,"[0.6716849207878113,-0.04080037772655487,14.011754989624023,0.0,0.0,40.92470169067383,19.191429138183594,2.0,0.003279272699728608,0.0,118.43622589111328,0.6716849207878113,0.009999999776482582,721.6287841796875,0.005712538957595825,0.005712538957595825,0.005712538957595825]",0,DN,0.0,0.6716848929816408,-0.040800378516635094,14.011754639691736,0.0,0,0.0,0.0032792727910727583,0.0,0.0,0.0,0.000808307305554674,1.0443330387766387,0.0,721.6288004620021,19.19142937440141,2.0,,,,,,,0.0,False,,0.0,0,0,0,0,0.0,721.6288004620021,840.0650280167258,False,0.0032792727910727583,0.0,0.0
724.4143580983418,scheduling,POMCP,,,,"[4.0,3.0,1.0,10.0,18.062604904174805,2.0,38.007144927978516,30.352725982666016,0.0,0.3333333432674408,0.0,1.0,0.003968925215303898,0.009108254685997963]",,,,,,,,,,,,,,,,,,18.062605108405744,2.0,0,3,True,"{""mid"":2,""t0"":724.4143580983418,""t1"":737.252566144415,""jid"":17,""oid"":0,""status"":""DONE""}",837.6437822301227,False,,False,,0.0,0,0,0,0,0.0,,,,,,0.0
728.8349447447799,maintenance,POMCP,57,10,5,"[0.5601385831832886,-0.05062239617109299,9.089624404907227,0.0,0.0,38.33757019042969,18.062604904174805,2.0,0.009938156232237816,0.0,115.32325744628906,0.5601385831832886,0.009999999776482582,728.8349609375,0.007285546977072954,0.007285546977072954,0.007285546977072954]",0,DN,0.0,0.5601385914876492,-0.05062239757857989,9.08962462264628,0.0,0,0.0,0.009938156045335895,0.0,0.0,0.0,0.004145088271988202,5.355454047408757,0.0,728.8349447447799,18.062605108405744,2.0,,,,,,,0.0,False,,0.0,0,0,0,0,0.0,728.8349447447799,844.1582020999565,False,0.009938156045335895,0.0,0.0
734.4293807704917,maintenance,POMCP,58,9,0,"[0.8437432646751404,-0.003417202504351735,217.64682006835938,0.0,0.0,41.84394073486328,18.062604904174805,2.0,0.0005884483689442277,0.0,119.71788024902344,0.8437432646751404,0.009999999776482582,734.4293823242188,0.002949303947389126,0.002949303947389126,0.002949303947389126]",0,DN,0.0,0.8437432734292047,-0.003417202604399927,217.64681803518897,0.0,0,0.0,0.0005884483763324791,0.0,0.0,0.0,0.00044277154958202806,0.5720608420599802,0.0,734.4293807704917,18.062605108405744,2.0,,,,,,,0.0,False,,0.0,0,0,0,0,0.0,734.4293807704917,854.1472577098209,False,0.0005884483763324791,0.0,0.0
